# HAN (c) Todt
ID	WCFS1.glc.over.NC8.glc	fdr.WCFS1.glc.over.NC8.glc
lp_0301	0.1646365849	0.6611209505
lp_0302	-1.3033801728	3.12E-016
lp_0304	-0.49219063	0.0032148552
lp_0305	-0.2868612745	0.4087456582
lp_0306	-0.1473092912	0.7029801772
lp_0307	-0.1735264629	0.6376137834
lp_0308	-0.2885517147	0.2848116949
lp_0310	-0.0469460651	0.940945692
lp_0311	0.753224751	0.0052059139
lp_0312	-0.2002332373	0.8328099797
lp_0313	0.9250892565	1.78E-009
lp_0314	0	1
lp_0315	0.0573963287	0.8780827308
lp_0316	0.0838174616	0.8211939758
lp_0317	0.1675931302	0.5426426932
lp_0318	0.2230909945	0.3977953826
lp_0319	0.2375527463	0.4335432638
lp_0320	0.1711914433	0.5796745302
lp_0321	0.2204454443	0.4338456394
lp_0322	0.3009425415	0.1936081767
lp_0324	0.0206607375	0.9832189537
lp_0325	0.7468677912	0.0005867797
lp_0326	0.7511066386	2.74E-005
lp_0327	0.6182404609	0.0056711389
lp_0329	0.168136874	0.4911841375
lp_0330	0.1318042072	0.6508062391
lp_0331	-0.3318133159	0.081862329
lp_0332	0.2378682409	0.2964606227
lp_0333	0.1076183884	0.8314123384
lp_0334	0.0121655845	0.9747642079
lp_0335	0.2020777727	0.3659995954
lp_0336	-1.2917869467	0.000147906
lp_0337	-1.0653041041	4.50E-007
lp_0339	0.9897046878	6.06E-006
lp_0340	-0.0756739174	0.8199405555
lp_0343	-0.0675948188	0.8333967762
lp_0344	0.0940848813	0.766591382
lp_0346	0	1
lp_0347	1.1114612733	7.15E-006
lp_0348	1.3301740093	8.52E-012
lp_0349	-1.4042503194	8.57E-018
lp_0350	-0.5395296892	0.2457253901
lp_0351	0.03136822	0.9474212776
lp_0353	0	1
lp_0354	-0.5104329098	0.017625343
lp_0355	-0.1372710662	0.5785665033
lp_0357	-0.2065052681	0.6179215993
lp_0358	0.0758152036	0.8352019876
lp_0359	-0.2435021508	0.4016782828
lp_0360	0.0026798142	0.9957439445
lp_0361	-0.4447233913	0.0431185377
lp_0362	-0.2190557512	0.3659995954
lp_0363	0.1393457521	0.6758585401
lp_0364	0.4085900555	0.0732710955
lp_0367	0.4700206201	0.0183880269
lp_0368	0.2163512944	0.4017513629
lp_0369	0.4199360683	0.0252024496
lp_0371	-0.6379565821	0.0173658411
lp_0372	-1.3015496777	0.0036828822
lp_0373	-0.5373353782	0.2721092776
lp_0423	-2.5042443814	4.02E-006
lp_0432	0.2544955147	0.2809535998
lp_0433	0.2870957351	0.5480798406
lp_0434	0.1839924722	0.4350104016
lp_0435	0.015762172	0.9747642079
lp_0436	-0.482745442	0.1152919717
lp_0438	-0.1076447151	0.8638271638
lp_0439	0	1
lp_0441	0.4638422312	0.220852765
lp_0442	0.2581056605	0.6829496726
lp_0443	-0.0995340645	0.7443311202
lp_0446	0.0801748899	0.813641398
lp_0447	0.1779918224	0.5159457685
lp_0448	-0.0069101183	0.9847641827
lp_0449	-0.0507449087	0.8888248869
lp_0450	0.1156129508	0.7260421689
lp_0452	0.4827331461	0.0732710955
lp_0454	0.2886304788	0.140534054
lp_0455	-0.6008692965	0.0184790434
lp_0456	-1.3416136517	1.96E-016
lp_0457	-1.452574427	1.49E-021
lp_0458	-1.1662032685	1.24E-016
lp_0459	-0.2301589	0.4301534567
lp_0460	-0.0871265149	0.7802045174
lp_0461	0.2376117121	0.3948756101
lp_0463	-0.0996194348	0.7818367138
lp_0464	-0.2740147615	0.3061861056
lp_0466	0.1890788566	0.6415074279
lp_0467	-0.1757625258	0.4833531755
lp_0469	0.0462119639	0.9438763585
lp_0471	0.1459789436	0.6086218126
lp_0472	0.8842930218	4.28E-006
lp_0473	0.2225107735	0.2733021847
lp_0475	0.0703931822	0.8513704574
lp_0476	0.0680722314	0.8346559466
