ID	WCFS1.glc.over.NC8.glc	fdr.WCFS1.glc.over.NC8.glc
lp_2683	0.5650430704	0.0058737767
lp_2543	0.5659073156	0.0028660348
lp_2924	0.5719189665	0.0324161093
lp_1598	0.5774281472	0.0014572933
lp_0555	0.5834600836	0.0368028074
lp_3284	0.5887115188	0.0450720392
lp_3174	0.5910960996	0.001378211
lp_1101	0.5981804364	0.0043502428
lp_1836	0.6081698478	0.025912464
lp_0856	0.6110213499	0.0009372647
lp_0954	0.6140777395	0.0024404834
lp_0828	0.6148408768	0.0494633827
lp_0327	0.6182404609	0.0056711389
lp_1543	0.6198961937	0.0018354888
lp_1795	0.6278947928	0.0008216606
lp_0533	0.6283871816	0.0001588291
lp_0236	0.6287428866	0.0010864146
lp_0126	0.6313286594	0.0099969073
lp_1885	0.6328886258	0.0004166866
lp_0556	0.6389915397	0.0020336074
lp_2114	0.6423583306	0.0036828822
lp_0926	0.649457333	0.0045526893
lp_2992	0.6503469853	0.0101742855
lp_0955	0.6604099177	0.0008958612
lp_0764	0.6622386019	8.91E-005
lp_0107	0.6632088304	0.0242934887
lp_3207	0.6690611075	0.0020336074
lp_0106	0.6703228224	0.0484919233
lp_3665	0.672334645	0.0045526893
lp_1313	0.6724639779	0.0177790939
lp_3094	0.6753347138	0.029929111
lp_0158	0.68890753	0.0008653686
lp_0557	0.7012348109	0.0014576021
lp_1886	0.7015060055	0.0014852396
lp_1574	0.7050627192	0.0011932353
lp_3573	0.711064192	0.0036828822
lp_0532	0.7130621941	0.0067171753
lp_1466	0.7142528825	0.0023012696
lp_2573	0.7151448783	0.001735798
lp_0558	0.7224842448	0.0029732036
lp_1002	0.7305396253	0.0020586061
lp_0854	0.7323074591	5.21E-005
lp_2509	0.7337999494	4.54E-005
lp_0081	0.739971723	0.0109993994
lp_0047	0.7442511003	0.0298902902
lp_0572	0.7446235721	8.01E-006
lp_2542	0.7468404875	0.0003194201
lp_0325	0.7468677912	0.0005867797
lp_0133	0.7485920199	0.0021979683
lp_0326	0.7511066386	2.74E-005
lp_0311	0.753224751	0.0052059139
lp_2998	0.7547136397	0.0150221768
lp_0028	0.7592700622	0.0007076088
lp_1699	0.7605511301	0.0012860224
lp_0858	0.7641204848	0.0003961544
lp_0529	0.7686106944	0.0184996034
lp_2843	0.7696946099	5.55E-006
lp_0804	0.7701767227	1.72E-005
lp_0947	0.7718429467	0.0164532761
lp_1079	0.7777074863	5.96E-005
lp_3278	0.7779655153	0.0474047471
lp_3489	0.7985004339	0.0004942028
lp_2926	0.8060486983	0.0009372647
lp_0183	0.8113896954	0.0032719386
lp_2574	0.8316276958	6.95E-005
lp_2874	0.8368764907	0.000591849
lp_0571	0.8502253816	1.23E-007
lp_3343	0.8521021974	0.0012773655
lp_2804	0.8529971419	0.0037720019
lp_1472	0.8567597777	4.58E-007
lp_3360	0.8651115032	0.0080594933
lp_2911	0.8737425063	1.74E-005
lp_0574	0.8762332556	0.0009372647
lp_0096	0.880478148	0.0236890797
lp_1835	0.8811993813	4.85E-006
lp_0472	0.8842930218	4.28E-006
lp_3246	0.887840269	1.05E-006
lp_2515	0.8893991193	6.25E-006
lp_2099	0.8955265202	8.94E-005
lp_0026	0.9035188232	3.80E-006
lp_2948	0.9056187875	0.0013403585
lp_3441	0.9057787671	0.0097612353
lp_2774	0.9127653711	0.0039097109
lp_2102	0.917769181	8.49E-006
lp_3579	0.9200377479	2.93E-005
lp_2100	0.9235528154	8.55E-005
lp_0313	0.9250892565	1.78E-009
lp_2965	0.9320347557	0.0070591998
lp_2963	0.9390825271	0.0005308684
lp_2334	0.9506343034	2.27E-005
lp_2335	0.9520257158	0.0026302128
lp_2771	0.9641486294	0.0005408844
lp_2645	0.9750809605	2.88E-008
lp_3225	0.9819741975	0.000144901
lp_0339	0.9897046878	6.06E-006
